Copy	Mul	Add	Triad	Dot
1394187.443	1353383.294	1364863.588	1373382.827	1322443.123
1385123.019	1350455.573	1366276.114	1373757.679	1317836.834
1397017.190	1353212.730	1364907.540	1373567.885	1320592.200
1393102.128	1350863.331	1365673.696	1372680.529	1317380.878
1383659.388	1349708.654	1364514.380	1372633.735	1318221.893
1394766.969	1353178.622	1365442.138	1373265.727	1319294.123
1385587.744	1350693.402	1365555.592	1374015.509	1319099.632
1385155.182	1350214.431	1366345.657	1372423.200	1316060.068
1397198.976	1354065.979	1364352.557	1372119.208	1323881.241
1386088.566	1349335.505	1364609.181	1372491.032	1319261.704
