Copy	Mul	Add	Triad	Dot2	Dot
988921.985	990856.664	972847.193	973670.560	723239.643	945841.371
988794.489	991348.839	974305.503	972154.293	757987.127	948823.515
990016.158	993329.791	972588.708	973847.177	741479.105	944475.271
990891.411	993607.388	975097.101	974518.908	716417.255	945123.718
989359.364	993807.869	973517.544	973953.179	719218.759	943909.025
990052.672	993515.451	976137.213	973023.512	748258.399	945874.699
990927.990	995246.716	974389.203	975556.604	743265.272	946409.938
992943.986	996334.597	973517.544	975320.302	724576.907	944508.504
990253.547	993513.613	974743.024	972881.276	757827.704	944857.581
989649.340	996595.376	974081.589	973164.613	747435.432	947162.965
