Copy	Mul	Add	Triad	Dot
794312.292	790939.739	813877.310	816091.011	842451.751
794271.162	790855.850	813963.686	816144.771	842663.318
794222.986	791062.108	800462.768	802728.806	843237.731
794215.937	791492.450	800697.553	802807.229	843864.654
795002.735	791262.643	800404.690	802813.632	844225.590
794479.205	791023.645	800146.225	802675.199	843966.799
794300.540	791543.796	800106.476	802872.060	843527.882
794316.992	791443.445	800108.861	803608.344	843100.012
794483.908	791308.127	800048.450	802984.138	843972.106
793820.187	791355.950	813511.444	815446.445	842326.183
