Copy	Mul	Add	Triad	Dot
1396217.894	1353315.063	1366042.034	1374719.174	1343258.603
1386192.353	1350659.421	1366299.294	1374015.509	1340006.470
1398108.615	1353588.027	1366345.657	1375353.089	1337003.078
1386553.939	1350965.309	1366832.663	1373359.405	1337869.341
1386768.832	1350251.786	1365858.999	1375235.653	1338102.757
1398359.884	1355159.710	1365949.352	1373523.373	1335606.098
1386840.478	1351883.806	1366227.437	1373921.742	1339605.238
1397890.194	1355091.300	1366368.840	1375139.371	1336866.578
1396217.894	1354305.082	1366044.352	1374507.999	1344230.592
1386872.721	1355091.300	1366296.976	1374883.466	1339170.841
