Copy	Mul	Add	Triad	Dot
806003.561	800984.257	817387.353	818955.906	847376.938
805842.656	801060.746	817212.335	819168.335	847509.368
806044.705	801345.318	803133.891	805333.749	848078.352
806221.429	801521.184	803285.302	804959.430	851315.276
805818.466	801402.735	802924.092	804916.788	848550.182
806048.335	801365.652	802813.632	804858.866	847767.659
806035.024	801095.410	803003.354	805258.053	849091.020
805960.002	801191.050	803168.334	804802.562	850239.394
806263.806	801639.668	802879.264	805162.244	847510.706
805991.461	801107.364	817491.072	819220.834	847841.294
