Copy Mul Add Triad Dot-Tuned
991368.976 999210.698 974023.859 975558.968 947418.558
989780.706 996114.612 972801.361 973754.151 947338.454
989140.626 992486.920 972308.055 974590.849 943625.328
991460.516 994804.117 974649.826 975996.432 946353.217
988341.235 992743.853 972460.691 972883.627 946319.855
989981.472 993533.837 973083.475 975570.786 946353.217
987975.657 992964.187 976042.566 975972.775 949852.555
991552.073 995375.881 973624.650 974685.215 944771.119
989724.142 992707.140 971685.091 975275.417 944555.032
991240.848 992486.920 972366.756 971838.705 939431.327
