Copy	Mul	Add	Triad	Dot
1365524.332	1323704.977	1337358.332	1344323.717	1265900.448
1348071.724	1318053.604	1337624.897	1344191.327	1260523.706
1363890.415	1323740.879	1336803.331	1343695.656	1274195.751
1350105.776	1317536.062	1337780.442	1343092.822	1267963.383
1362993.600	1323512.446	1337180.682	1342732.276	1274165.510
1345740.127	1317697.750	1337003.078	1343404.256	1260671.703
1346043.791	1317697.750	1337003.078	1344842.309	1265244.112
1363408.966	1324884.229	1337513.815	1344393.288	1271238.968
1361887.192	1323218.862	1337624.897	1344166.647	1265217.276
1362405.597	1319868.208	1336825.522	1344211.520	1267723.858
