Copy	Mul	Add	Triad	Dot	Dot-Tuned
958689.497	959753.786	943952.176	947383.590	781273.610	846990.586
960524.769	960559.140	946092.501	948431.288	779516.456	844738.331
963126.720	961920.491	945004.492	949640.298	785020.649	847778.369
961264.289	961832.601	945270.712	949258.585	781842.493	844964.347
963021.335	963785.468	945692.533	950457.365	781080.379	845390.118
956793.014	960937.384	941974.643	947271.036	778080.551	846469.770
958347.234	959374.759	944206.732	947081.650	781080.379	851855.591
960387.310	959529.078	945358.375	948320.719	783599.868	845869.623
960902.986	961178.240	945181.955	948320.719	779187.233	847070.769
959889.348	959357.616	944482.472	947350.156	780557.996	845496.627
