Copy	Mul	Add	Triad	Dot
792181.505	787547.179	809844.738	809663.980	821878.731
793117.735	788561.656	795839.853	796863.598	822300.440
793213.823	788808.439	796050.687	796727.209	823345.876
793304.074	788485.219	795953.123	797178.338	822755.364
793102.503	788557.023	795874.460	797012.654	822061.209
792855.367	788234.008	795780.085	797049.730	822109.044
793564.392	788523.435	796034.949	796884.888	823992.878
792987.701	788502.589	809656.653	810138.031	822331.928
793007.613	788305.766	795892.551	797043.419	823278.959
793117.735	788268.728	795955.483	796649.181	822538.551
