Copy	Mul	Add	Triad	Dot
1335858.668	1323316.709	1368772.530	1371100.648	1129298.808
1333635.346	1323476.556	1368749.266	1370706.246	1132373.879
1334762.673	1324096.739	1368702.739	1371429.879	1131798.563
1335097.923	1322335.634	1368144.666	1370703.913	1129655.240
1335858.668	1324815.572	1367607.950	1370097.585	1131083.219
1311898.659	1312379.699	1367261.980	1369538.374	1126455.432
1334762.673	1322661.411	1368842.329	1370983.938	1131798.563
1334762.673	1322563.661	1370190.832	1371264.077	1129655.240
1338022.719	1327764.397	1369261.268	1370449.656	1132562.595
1334995.007	1323737.615	1368400.393	1370776.242	1132037.212
