Copy	Mul	Add	Triad	Dot
983307.073	988303.027	965685.481	963639.001	706741.077
981760.667	983361.105	961108.838	963131.904	704432.051
980237.015	983991.921	961866.491	962707.044	709243.268
977381.757	983307.073	961958.409	961257.979	698084.438
980756.318	985020.984	961959.558	962753.081	698556.765
980022.292	985257.792	963419.962	963051.278	706675.028
981419.675	985147.509	963247.106	963398.063	703933.287
980326.511	985165.586	963258.628	963086.982	709440.084
979861.312	985237.903	964482.657	963074.313	697232.234
980272.811	985563.461	961533.436	966079.364	701587.527
