Copy	Mul	Add	Triad	Dot
716910.896	717020.048	816457.545	817146.826	617902.668
716401.959	716379.973	816100.108	817267.072	617052.575
717754.335	717642.082	802076.406	804399.809	619169.712
717532.740	717563.429	802679.999	803969.367	617641.070
717415.763	717431.102	802627.198	803887.507	620310.775
717697.724	717394.673	802296.952	804091.386	618292.632
717599.876	717548.085	802407.271	804180.515	618742.984
717685.252	717426.308	802220.227	804284.123	618932.013
717534.658	717530.822	816609.882	817593.158	616606.096
717666.065	717514.520	802237.808	804194.971	618807.883
