Copy	Mul	Add	Triad	Dot
1378178.755	1347155.018	1367935.506	1370869.580	1299769.065
1378391.059	1346817.065	1367073.976	1370239.791	1295156.619
1376337.989	1347800.980	1366658.693	1370799.575	1296188.512
1379024.823	1347800.980	1366960.270	1372526.120	1295562.926
1383288.618	1347459.321	1366774.668	1371429.879	1310940.837
1378989.402	1346648.152	1366658.693	1372713.287	1297475.989
1382010.271	1347594.610	1366424.482	1370729.577	1307269.905
1382326.967	1347155.018	1366981.153	1372505.067	1280406.118
1378780.454	1348373.054	1367770.547	1371593.386	1296063.346
1380872.788	1348271.467	1367073.976	1371429.879	1281329.716
