Copy	Mul	Add	Triad	Dot
913659.537	936545.413	918374.842	920516.354	397591.447
909819.623	936369.001	918940.742	920442.705	397162.022
911998.831	937168.289	918741.550	919927.494	397417.506
912898.277	933907.808	918656.657	921347.296	396953.527
912494.858	936548.681	918689.145	920967.973	397226.670
910067.927	929348.887	921306.187	924585.264	400539.935
915093.836	933924.054	920852.131	922635.107	400402.521
909788.787	935518.906	923195.688	923419.052	400575.798
907927.098	931768.290	920379.587	924394.228	399541.356
913270.980	933225.987	921463.262	923747.414	399800.210
