Copy	Mul	Add	Triad	Dot
789964.468	790859.345	800387.188	810614.270	817510.990
789524.175	789937.734	800753.285	811139.270	818020.451
789319.878	789593.845	785571.247	794175.208	818987.555
789464.964	789441.747	785493.856	794746.570	818611.673
789748.326	789559.008	784893.639	794393.781	819243.752
789577.588	788883.780	785797.377	794295.839	818541.779
789449.873	789581.071	785316.146	793489.719	819486.350
789821.522	789337.285	785120.909	794450.206	819093.764
789741.356	789498.632	801068.715	810431.537	819357.530
789389.513	789417.370	790784.403	800054.808	819635.231
